MFS_1	5
HET	5
Macoilin	5
Pyr_redox_2	4
Pyr_redox_3	4
Methyltransf_11	4
Methyltransf_31	4
Ubie_methyltran	4
NAD_binding_8	4
Methyltransf_23	4
Methyltransf_12	4
Methyltransf_18	4
FAD_binding_2	3
WD40	3
IncA	3
KR	3
NAD_binding_9	3
Methyltransf_25	3
AAA_16	3
adh_short	3
MTS	3
Metallophos	3
Zip	3
AAA_22	3
Shikimate_DH	3
Sugar_tr	3
AAA_29	2
DUF342	2
FtsJ	2
PrmA	2
NAD_binding_10	2
CPSF100_C	2
CBM_1	2
Methyltransf_4	2
zf-C2H2_4	2
TPR_7	2
SprA-related	2
Pyr_redox	2
M20_dimer	2
Polysacc_synt_2	2
PgaD	2
zf-RING_2	2
Peptidase_M20	2
NAD_binding_2	2
p450	2
Neur_chan_memb	2
NOA36	2
Ank_5	2
SAPS	2
Ank_2	2
Mem_trans	2
Metallophos_2	2
PGAP1	2
Methyltransf_2	2
Mnd1	2
PP-binding	2
Thiolase_N	2
zf-H2C2_2	2
zf-C2H2	2
GIDA	2
Ank_4	2
KilA-N	2
DUF676	2
Transferase	2
DAO	2
HI0933_like	2
Suf	2
FA_desaturase	2
RR_TM4-6	2
AAA_11	2
DUF938	2
Nop14	2
Methyltransf_26	2
Ank	2
Ank_3	2
UDPG_MGDP_dh_N	2
FAD_oxidored	2
Abhydrolase_5	2
LMBR1	2
Daxx	2
BTB	2
AMP-binding	1
Med10	1
GPI-anchored	1
FeoB_N	1
SNF2_N	1
ACP_syn_III_C	1
Ycf1	1
GMC_oxred_C	1
TPR_10	1
Myb_DNA-bind_6	1
Presenilin	1
AvrE	1
UPF0086	1
3Beta_HSD	1
DUF3353	1
NIR_SIR_ferr	1
PI3_PI4_kinase	1
Nic96	1
TT_ORF1	1
DUF1211	1
Peptidase_S9	1
ATP-grasp_4	1
DUF4407	1
MR_MLE	1
NdhM	1
DUF3325	1
PLRV_ORF5	1
Metallophos_C	1
Peptidase_M43	1
BUD22	1
Dicty_REP	1
Apt1	1
DUF2424	1
Glyco_transf_15	1
PHD	1
zf-NPL4	1
HrpF	1
Utp14	1
HALZ	1
PPP4R2	1
EamA	1
Methyltransf_8	1
CPSase_L_D2	1
Kinesin	1
Cellulose_synt	1
OATP	1
DUF1088	1
DUF2457	1
Ecl1	1
TPR_12	1
PC_rep	1
NIR_SIR	1
DUF4190	1
AA_permease_2	1
AAA_19	1
TPR_2	1
Glyco_hydro_72	1
Hid1	1
PAT1	1
zf-MYND	1
Saccharop_dh	1
Otopetrin	1
AAA_21	1
Antimicrobial10	1
Nuc_sug_transp	1
ACC_central	1
zf-rbx1	1
Dala_Dala_lig_C	1
Glyco_tranf_2_3	1
FUSC_2	1
ApbA	1
Abhydrolase_6	1
STAS_2	1
zf-C3HC4_3	1
FAD_binding_3	1
OAD_gamma	1
Hex_IIIa	1
RXT2_N	1
Peptidase_C14	1
TPR_14	1
Gp_dh_N	1
SH3_1	1
Pkinase_Tyr	1
Acyl_transf_1	1
Abhydrolase_1	1
C1_1	1
DUF515	1
K_oxygenase	1
DUF4414	1
Miro	1
DUF3807	1
Herpes_LMP1	1
NPCBM_assoc	1
DUF3774	1
DUF4188	1
Peptidase_S28	1
ATP-grasp_3	1
DUF2422	1
TPR_1	1
DOCK-C2	1
DUF87	1
DBINO	1
ADH_zinc_N_2	1
Hydantoinase_A	1
Rieske	1
Glyco_hydro_88	1
TDH	1
MFS_2	1
zf-C2H2_6	1
Peptidase_C54	1
LANC_like	1
Thiolase_C	1
UPF0258	1
Orbi_VP5	1
STAS	1
MMR_HSR1	1
PAP2	1
PA26	1
Mqo	1
SID-1_RNA_chan	1
AAA_5	1
DUF1510	1
XdhC_C	1
Catalase-rel	1
DUF4009	1
Hydrolase_3	1
Sulfate_tra_GLY	1
Dynamin_N	1
Fork_head	1
DUF4045	1
